trcp_num,trcp_text,trcp_length
1,"TRCP's purpose is fair adjudication under the law, liberally construed for efficiency. ",94
2,"TRCPs govern most courts but do not supersede the old ""lunacy"" laws.",75
3,"Don't get hung up on verb tense, pronoun gender, or plural vs. singular.",79
3a,Local rules are allowed but cannot make life worse than these rules do.,79
4,"Time periods don't count the first day but do count the last day. Short periods do not include weekends, long periods do.",128
5,Courts can extend deadlines but not their own plenary power. Postmark prior to deadline with receipt w/in 10 days of deadline satisfies the deadline.,156
6,"Cannot file most suits or serve process on Sunday, but citation by publication, which is a scam anyway, can be done on Sunday.",133
7,People can represent themselves or hire attorneys. Attorneys can appear for their clients.,97
8,The attorney in charge is the attorney whose name appears first on a pleading or who is later designated as being in charge.,131
9,Only two attorneys can speak for you at trial unless your case is important or the judge wants to hear from someone else.,128
10,"If an attorney wants to quit, that attorney must get the judge's permission via a written motion. The judge can impose conditions on the withdrawal. NB: Send the motion to your client first class mail **AND** certified mail. PS. Check local rules--they might help you.",276
11,"If you have an agreement you want the court to enforce, get it in writing and file it with the court (best) or get it on the record in open court (sloppy). Otherwise, it's just talk. Rf TRCP 1: What constitutes a writing may not be all that formal so be careful!",270
12,"If you swear that you believe opposing counsel is acting without client authority, upon 10 days' notice, he must show up and prove his authority to act. Upon his failure to do so, the court MUST strike the pleadings unless another attorney appears and shows authority.",276
13,"Before you sign a pleading, you have the duty of reasonable inquiry that it is not based on nonsense. Bringing a ""test"" suit or a nonsense suit is contemptable (jail) and sanctionable. NB: Bringing a baseless request for sanctions under this rule is just as bad.",270
14,"When they have knowledge of the facts, attorneys and agents can make affidavits on behalf of their clients or principals. It's not the status as agent or attorney that supports this rule, it's the personal knowledge of the agent or attorney. (Rf. Cantu v Holiday Inns)",276
14b,"The court's clerk must file and keep exhibits offered OR admitted as per the Supreme Court's rules, which say nothing about throwing away exhibits immediately after an interlocutory hearing.",199
